microscope_type,image_quality,noise_level,cell_num,specimen,frame_num
widefield,noisy,1,40,CCPs,0
widefield,noisy,2,40,CCPs,0
widefield,noisy,3,40,CCPs,0
widefield,noisy,4,40,CCPs,0
widefield,noisy,6,40,CCPs,0
widefield,gt,9,40,CCPs,0
widefield,noisy,1,68,ER,0
widefield,noisy,2,68,ER,0
widefield,noisy,3,68,ER,0
widefield,noisy,4,68,ER,0
widefield,noisy,5,68,ER,0
widefield,gt,6,68,ER,0
widefield,noisy,1,37,F-actin,0
widefield,noisy,2,37,F-actin,0
widefield,noisy,3,37,F-actin,0
widefield,noisy,4,37,F-actin,0
widefield,noisy,6,37,F-actin,0
widefield,gt,9,37,F-actin,0
widefield,noisy,1,41,Microtubules,0
widefield,noisy,2,41,Microtubules,0
widefield,noisy,3,41,Microtubules,0
widefield,noisy,4,41,Microtubules,0
widefield,noisy,6,41,Microtubules,0
widefield,gt,9,41,Microtubules,0
