microscope_type,specimen,noise_level,fov,capture_idx
confocal,F-actin,avg2,5,8
confocal,F-actin,avg2,13,33
confocal,F-actin,avg2,18,13
confocal,F-actin,avg2,18,30
confocal,F-actin,avg2,19,46
confocal,F-actin,raw,13,21
confocal,F-actin,raw,13,37
confocal,F-actin,raw,17,28
confocal,F-actin,raw,18,9
confocal,F-actin,raw,18,44
confocal,mito,avg2,15,27
confocal,mito,avg2,20,15
confocal,mito,avg2,20,17
confocal,mito,avg2,20,31
confocal,mito,raw,5,0
confocal,mito,raw,5,11
confocal,mito,raw,5,39
confocal,mito,raw,15,7
confocal,mito,raw,15,22
confocal,mito,raw,15,25
confocal,nucleus,avg2,1,0
confocal,nucleus,avg2,7,3
confocal,nucleus,avg2,7,9
confocal,nucleus,avg2,7,12
confocal,nucleus,avg2,7,43
confocal,nucleus,avg2,10,19
confocal,nucleus,avg2,10,25
confocal,nucleus,avg2,10,33
confocal,nucleus,avg2,10,34
confocal,nucleus,avg2,10,35
confocal,nucleus,avg2,10,40
confocal,nucleus,avg2,10,43
confocal,nucleus,avg2,10,44
confocal,nucleus,avg2,11,40
confocal,nucleus,avg2,20,11
confocal,nucleus,avg2,20,31
confocal,nucleus,avg2,20,44
confocal,nucleus,raw,10,1
confocal,nucleus,raw,10,13
confocal,nucleus,raw,12,29
twophoton,F-actin,avg2,1,8
twophoton,F-actin,avg2,15,10
twophoton,F-actin,avg2,18,11
twophoton,F-actin,raw,8,18
twophoton,F-actin,raw,9,45
twophoton,F-actin,raw,10,13
twophoton,F-actin,raw,11,2
twophoton,F-actin,raw,11,45
twophoton,F-actin,raw,15,27
twophoton,F-actin,raw,15,28
twophoton,mito,avg2,2,8
twophoton,mito,avg2,2,26
twophoton,mito,avg2,2,33
twophoton,mito,avg2,6,22
twophoton,mito,avg2,9,37
twophoton,mito,raw,2,36
twophoton,mito,raw,3,4
twophoton,mito,raw,10,3
twophoton,mito,raw,17,8
twophoton,mito,raw,18,33
twophoton,nucleus,avg2,3,31
twophoton,nucleus,avg2,5,35
twophoton,nucleus,avg2,10,48
twophoton,nucleus,avg2,11,41
twophoton,nucleus,avg2,18,38
twophoton,nucleus,avg2,19,2
twophoton,nucleus,avg2,19,17
twophoton,nucleus,avg2,19,20
twophoton,nucleus,raw,9,41
twophoton,nucleus,raw,16,24
widefield,F-actin,avg2,1,39
widefield,F-actin,avg2,2,28
widefield,F-actin,avg2,6,45
widefield,F-actin,avg2,12,2
widefield,F-actin,avg2,13,1
widefield,F-actin,avg2,14,8
widefield,F-actin,avg2,16,24
widefield,F-actin,avg2,16,29
widefield,F-actin,raw,4,12
widefield,F-actin,raw,11,8
widefield,mito,avg2,2,15
widefield,mito,avg2,2,28
widefield,mito,avg2,7,38
widefield,mito,avg2,14,13
widefield,mito,avg2,19,36
widefield,mito,raw,1,10
widefield,mito,raw,2,49
widefield,mito,raw,10,11
widefield,mito,raw,10,16
widefield,mito,raw,19,6
widefield,nucleus,avg2,8,36
widefield,nucleus,avg2,8,47
widefield,nucleus,avg2,9,12
widefield,nucleus,avg2,9,20
widefield,nucleus,avg2,10,1
widefield,nucleus,avg2,10,26
widefield,nucleus,avg2,10,32
widefield,nucleus,avg2,14,31
widefield,nucleus,raw,1,14
widefield,nucleus,raw,3,31
widefield,nucleus,raw,8,1
widefield,nucleus,raw,8,10
widefield,nucleus,raw,8,20
widefield,nucleus,raw,8,28
widefield,nucleus,raw,8,34
widefield,nucleus,raw,8,45
widefield,nucleus,raw,16,32
widefield,nucleus,raw,16,33
widefield,nucleus,raw,16,37
widefield,nucleus,raw,16,43
