index_in_dataset,metric,depth,width,num_iter,skip_n11,mic_obj_group,microscope_type,object,index_in_tiff,Component 1,Component 2
0,l1_gt,6,32,1100,4,nucleus_confocal,confocal,nucleus,0,-1.1461730003356934,0.19743046164512634
0,lpips_gt,8,16,2800,4,nucleus_confocal,confocal,nucleus,0,-1.1461730003356934,0.19743046164512634
0,lpips_gt_rank,4,16,2900,4,nucleus_confocal,confocal,nucleus,0,-1.1461730003356934,0.19743046164512634
0,lpips_psnr_gt,8,64,1800,4,nucleus_confocal,confocal,nucleus,0,-1.1461730003356934,0.19743046164512634
0,mse_gt,6,32,1100,4,nucleus_confocal,confocal,nucleus,0,-1.1461730003356934,0.19743046164512634
0,psnr_gt,6,32,1100,4,nucleus_confocal,confocal,nucleus,0,-1.1461730003356934,0.19743046164512634
0,psnr_gt_rank,7,512,100,0,nucleus_confocal,confocal,nucleus,0,-1.1461730003356934,0.19743046164512634
0,ssim_gt,6,32,1200,4,nucleus_confocal,confocal,nucleus,0,-1.1461730003356934,0.19743046164512634
69,l1_gt,4,64,2900,0,nucleus_confocal,confocal,nucleus,1,-11.564679145812988,0.5060223937034607
69,lpips_gt,7,64,1700,4,nucleus_confocal,confocal,nucleus,1,-11.564679145812988,0.5060223937034607
69,lpips_gt_rank,8,512,100,4,nucleus_confocal,confocal,nucleus,1,-11.564679145812988,0.5060223937034607
69,lpips_psnr_gt,7,64,1500,4,nucleus_confocal,confocal,nucleus,1,-11.564679145812988,0.5060223937034607
69,mse_gt,4,asc_to512,700,4,nucleus_confocal,confocal,nucleus,1,-11.564679145812988,0.5060223937034607
69,psnr_gt,4,asc_to512,700,4,nucleus_confocal,confocal,nucleus,1,-11.564679145812988,0.5060223937034607
69,psnr_gt_rank,6,512,100,0,nucleus_confocal,confocal,nucleus,1,-11.564679145812988,0.5060223937034607
69,ssim_gt,4,asc_to512,900,4,nucleus_confocal,confocal,nucleus,1,-11.564679145812988,0.5060223937034607
75,l1_gt,5,asc_to512,1900,4,nucleus_confocal,confocal,nucleus,2,-11.38123607635498,0.5144809484481812
75,lpips_gt,6,64,1900,4,nucleus_confocal,confocal,nucleus,2,-11.38123607635498,0.5144809484481812
75,lpips_gt_rank,8,16,200,0,nucleus_confocal,confocal,nucleus,2,-11.38123607635498,0.5144809484481812
75,lpips_psnr_gt,6,32,2300,4,nucleus_confocal,confocal,nucleus,2,-11.38123607635498,0.5144809484481812
75,mse_gt,4,32,700,4,nucleus_confocal,confocal,nucleus,2,-11.38123607635498,0.5144809484481812
75,psnr_gt,4,32,700,4,nucleus_confocal,confocal,nucleus,2,-11.38123607635498,0.5144809484481812
75,psnr_gt_rank,8,512,100,4,nucleus_confocal,confocal,nucleus,2,-11.38123607635498,0.5144809484481812
75,ssim_gt,4,32,900,4,nucleus_confocal,confocal,nucleus,2,-11.38123607635498,0.5144809484481812
83,l1_gt,4,32,900,4,nucleus_confocal,confocal,nucleus,3,-11.561538696289062,0.5028703212738037
83,lpips_gt,8,64,2400,4,nucleus_confocal,confocal,nucleus,3,-11.561538696289062,0.5028703212738037
